#{"t_start": 1734309533.2093298, "env_id": "None"}
r,l,t
0.99,1,1.853118
0.99,1,1.853118
0.84,16,1.853118
0.95,5,1.859155
0.82,18,1.864157
0.63,37,1.867158
0.99,1,1.868157
0.99,1,1.869143
0.91,9,1.869143
0.77,23,1.873174
0.83,17,1.873174
0.38,62,1.874174
0.92,8,1.874174
0.98,2,1.876174
0.98,2,1.877176
0.98,2,1.878174
0.97,3,1.878174
0.99,1,1.879174
0.7,30,1.885931
0.88,12,1.885931
0.65,35,1.885931
0.98,2,1.885931
0.91,9,1.885931
0.79,21,1.885931
0.77,23,1.907888
0.99,1,1.909816
0.45,55,1.910189
0.97,3,1.920425
0.79,21,1.920425
0.97,3,1.923412
0.97,3,1.923412
0.79,21,1.925389
0.99,1,1.926388
0.4,60,1.926388
0.97,3,1.929388
0.8,20,1.930388
0.48,52,1.932389
0.54,46,1.934388
0.69,31,1.935389
0.89,11,1.937388
0.93,7,1.940389
0.82,18,1.940389
0.87,13,1.941388
0.58,42,1.943389
0.96,4,1.944389
0.94,6,1.946388
0.98,2,1.946388
0.89,11,1.947394
0.93,7,1.948394
0.94,6,1.952585
0.82,18,1.952585
0.95,5,1.952585
0.94,6,1.952585
0.58,42,1.963308
0.82,18,1.963308
0.64,36,1.969165
0.94,6,1.97175
0.99,1,1.972749
0.99,1,1.973748
0.84,16,1.974749
0.99,1,1.975749
0.81,19,1.976749
0.97,3,1.978749
0.98,2,1.978749
0.0,101,1.981261
0.98,2,1.983325
0.84,16,1.984353
0.57,43,1.986955
0.99,1,1.987834
0.95,5,1.988832
0.99,1,1.988832
0.98,2,1.990833
0.99,1,1.991833
0.96,4,1.991833
0.35,65,1.993833
0.83,17,1.994833
0.48,52,1.998343
0.49,51,1.998343
0.83,17,1.998343
0.92,8,1.999343
0.92,8,2.001342
0.98,2,2.001342
0.93,7,2.001342
0.96,4,2.002538
0.98,2,2.002538
0.66,34,2.002538
0.69,31,2.002538
0.91,9,2.002538
0.85,15,2.002538
0.81,19,2.002538
0.92,8,2.018166
0.85,15,2.027003
0.4,60,2.027003
0.75,25,2.031002
0.62,38,2.033002
0.94,6,2.034003
0.99,1,2.034003
0.99,1,2.035002
0.88,12,2.036897
0.83,17,2.036897
0.99,1,2.036897
0.7,30,2.036897
0.86,14,2.036897
0.96,4,2.036897
0.63,37,2.036897
0.86,14,2.036897
0.69,31,2.036897
0.99,1,2.036897
0.56,44,2.036897
0.85,15,2.036897
0.93,7,2.036897
0.83,17,2.052549
0.98,2,2.055569
0.95,5,2.055569
0.99,1,2.056568
0.96,4,2.056568
0.75,25,2.057568
0.86,14,2.061568
0.9,10,2.062568
0.96,4,2.066568
0.87,13,2.067567
0.91,9,2.067567
0.99,1,2.06857
0.98,2,2.069324
0.76,24,2.070519
0.94,6,2.075524
0.81,19,2.078517
0.9,10,2.080516
0.84,16,2.081517
0.94,6,2.083516
0.84,16,2.098487
0.83,17,2.098487
0.44,56,2.101449
0.52,48,2.102534
0.66,34,2.103561
0.99,1,2.103561
0.55,45,2.106559
0.53,47,2.107559
0.87,13,2.11056
0.95,5,2.111559
0.93,7,2.112558
0.82,18,2.115559
0.99,1,2.116559
0.85,15,2.117559
0.97,3,2.119174
0.98,2,2.119174
0.92,8,2.119174
0.81,19,2.119174
0.98,2,2.119174
0.93,7,2.119174
0.51,49,2.119174
0.41,59,2.119174
0.98,2,2.119174
0.86,14,2.119174
0.89,11,2.119174
0.9,10,2.135899
0.97,3,2.135899
0.69,31,2.143941
0.9,10,2.143941
0.68,32,2.143941
0.95,5,2.15248
0.99,1,2.15352
0.76,24,2.15352
0.28,72,2.15452
0.64,36,2.157518
0.97,3,2.16052
0.99,1,2.161521
0.99,1,2.162523
0.39,61,2.16352
0.74,26,2.164517
0.81,19,2.164517
0.68,32,2.165527
0.97,3,2.166523
0.92,8,2.170485
0.81,19,2.171484
0.99,1,2.171484
0.94,6,2.172484
0.66,34,2.173484
0.96,4,2.17652
0.97,3,2.177519
0.81,19,2.18452
0.81,19,2.186006
0.83,17,2.186006
0.63,37,2.186006
0.72,28,2.186006
0.98,2,2.186006
0.99,1,2.186006
0.88,12,2.186006
0.93,7,2.186006
0.9,10,2.186006
0.53,47,2.186006
0.96,4,2.186006
0.84,16,2.186006
0.99,1,2.186006
0.71,29,2.206187
0.9,10,2.211187
0.88,12,2.211187
0.99,1,2.212187
0.63,37,2.214187
0.31,69,2.214187
0.96,4,2.216187
0.99,1,2.217187
0.99,1,2.218187
0.78,22,2.220207
0.94,6,2.222205
0.82,18,2.222205
0.99,1,2.222205
0.78,22,2.224206
0.9,10,2.228205
0.9,10,2.231206
0.74,26,2.234206
0.83,17,2.235876
0.99,1,2.235876
0.73,27,2.235876
0.99,1,2.235876
0.95,5,2.235876
0.86,14,2.235876
0.78,22,2.235876
0.62,38,2.251504
0.88,12,2.260241
0.91,9,2.260543
0.82,18,2.260543
0.97,3,2.260543
0.56,44,2.260543
0.33,67,2.272189
0.82,18,2.273192
0.63,37,2.273192
0.7,30,2.273192
0.99,1,2.274189
0.99,1,2.275191
0.99,1,2.276189
0.87,13,2.277189
0.0,101,2.278189
0.99,1,2.27919
0.84,16,2.280189
0.92,8,2.281189
0.98,2,2.281189
0.99,1,2.282187
0.95,5,2.284189
0.98,2,2.286189
0.89,11,2.287191
0.88,12,2.287191
0.65,35,2.293155
0.94,6,2.293155
0.71,29,2.300155
0.91,9,2.301155
0.95,5,2.302546
0.6,40,2.302546
0.66,34,2.302546
0.85,15,2.302546
0.07,93,2.302546
0.97,3,2.302546
0.98,2,2.302546
0.93,7,2.320682
0.62,38,2.320682
0.84,16,2.326681
0.93,7,2.326681
0.62,38,2.326681
0.99,1,2.327681
0.99,1,2.327681
0.98,2,2.329681
0.83,17,2.33368
0.94,6,2.33368
0.93,7,2.33368
0.99,1,2.334681
0.99,1,2.334681
0.99,1,2.335767
0.44,56,13.039642
0.35,65,13.041643
0.89,11,13.041643
0.77,23,13.043643
0.91,9,13.043643
0.57,43,13.045642
0.98,2,13.047643
0.87,13,13.048643
0.99,1,13.049643
0.89,11,13.050643
0.55,45,13.052559
0.88,12,13.053589
0.96,4,13.054588
0.89,11,13.054588
0.98,2,13.056588
0.85,15,13.058588
0.98,2,13.060589
0.88,12,13.060589
0.92,8,13.060589
0.99,1,13.061587
0.92,8,13.062587
0.9,10,13.063588
0.72,28,13.063588
