#{"t_start": 1734308162.8085334, "env_id": "None"}
r,l,t
0.98,2,73.859061
0.98,2,73.859061
0.94,6,73.859061
0.87,13,73.859061
0.99,1,73.860057
0.98,2,73.86106
0.99,1,73.86106
0.92,8,73.86106
0.96,4,73.862059
0.99,1,73.862059
0.99,1,73.86406
0.98,2,73.870059
0.94,6,73.870059
0.9,10,73.870059
0.96,4,73.87206
0.99,1,73.87306
0.92,8,73.874058
0.96,4,73.87606
0.95,5,73.87606
0.93,7,73.87606
0.93,7,73.87606
0.95,5,73.88606
0.91,9,73.88606
0.99,1,73.88606
0.99,1,73.88606
0.96,4,73.88906
0.92,8,73.89006
0.97,3,73.89006
0.97,3,73.89006
0.99,1,73.89106
0.99,1,73.89606
0.94,6,73.89606
0.9,10,73.899122
0.99,1,73.900124
0.96,4,73.901122
0.89,11,73.907169
0.89,11,73.907169
0.91,9,73.9082
0.99,1,73.9082
0.96,4,73.9082
0.99,1,73.9082
0.96,4,73.909198
0.98,2,73.911199
0.77,23,73.911199
0.99,1,73.917332
0.96,4,73.918333
0.96,4,73.919333
0.88,12,73.920331
0.82,18,73.920331
0.99,1,73.920331
0.85,15,73.921333
0.99,1,73.923334
0.98,2,73.923334
0.98,2,73.923334
0.81,19,73.93049
0.98,2,73.93049
0.92,8,73.93049
0.97,3,73.93249
0.92,8,73.93249
0.95,5,73.93249
0.99,1,73.933489
0.99,1,73.933489
0.98,2,73.933489
0.97,3,73.93456
0.98,2,73.939647
0.99,1,73.939647
0.97,3,73.940647
0.89,11,73.940647
0.98,2,73.941648
0.88,12,73.942648
0.84,16,73.943647
0.93,7,73.943647
0.98,2,73.943647
0.95,5,73.943647
0.99,1,73.943647
0.99,1,73.94471
0.99,1,73.94471
0.93,7,73.94471
0.98,2,73.948778
0.98,2,73.948778
0.98,2,73.948778
0.99,1,73.950778
0.94,6,73.950778
0.99,1,73.950778
0.99,1,73.951778
0.99,1,73.951778
0.98,2,73.951778
0.98,2,73.952778
0.99,1,73.952778
0.99,1,73.952778
0.96,4,73.952778
0.92,8,73.953778
0.99,1,73.953778
0.97,3,73.959959
0.97,3,73.959959
0.95,5,73.961959
0.99,1,73.961959
0.96,4,73.961959
0.91,9,73.961959
0.99,1,73.962958
0.99,1,73.962958
0.99,1,73.962958
0.9,10,73.963959
0.99,1,73.963959
0.99,1,73.963959
0.96,4,73.969146
