#{"t_start": 1734308162.7988536, "env_id": "None"}
r,l,t
0.99,1,1.990754
0.99,1,1.990754
0.84,16,1.990754
0.89,11,1.990754
0.92,8,1.990754
0.87,13,1.990754
0.99,1,1.990754
0.78,22,1.990754
0.99,1,1.990754
0.94,6,1.990754
0.91,9,1.990754
0.99,1,1.990754
0.99,1,1.990754
0.89,11,1.990754
0.78,22,1.990754
0.97,3,1.990754
0.98,2,2.006381
0.78,22,2.007929
0.98,2,2.007929
0.99,1,2.008968
0.95,5,2.008968
0.92,8,2.009968
0.91,9,2.009968
0.99,1,2.009968
0.93,7,2.009968
0.97,3,2.010969
0.98,2,2.010969
0.98,2,2.012972
0.98,2,2.012972
0.9,10,2.012972
0.98,2,2.013968
0.97,3,2.013968
0.91,9,2.013968
0.99,1,2.013968
0.97,3,2.015979
0.98,2,2.015979
0.94,6,2.016972
0.96,4,2.018976
0.93,7,2.020968
0.93,7,2.021965
0.9,10,2.022968
0.99,1,2.024377
0.98,2,2.024377
0.81,19,2.024377
0.84,16,2.025408
0.99,1,2.026642
0.97,3,2.028164
0.93,7,2.029158
0.98,2,2.030156
0.94,6,2.031158
0.87,13,2.031158
0.95,5,2.032161
0.88,12,2.032161
0.98,2,2.034159
0.86,14,2.034159
0.99,1,2.035159
0.83,17,2.03616
0.95,5,2.037159
0.99,1,2.037159
0.92,8,2.038159
0.94,6,2.039126
0.98,2,2.039126
0.98,2,2.040743
0.94,6,2.041798
0.76,24,2.041798
0.99,1,2.042799
0.99,1,2.042799
0.88,12,2.043798
0.97,3,2.043798
0.91,9,2.043798
0.99,1,2.045799
0.93,7,2.045799
0.98,2,2.046798
0.97,3,2.046798
0.81,19,2.046798
0.87,13,2.047798
0.99,1,2.047798
0.91,9,2.049798
0.99,1,2.050798
0.97,3,2.050798
0.95,5,2.052799
0.99,1,2.052799
0.93,7,2.054798
0.98,2,2.057422
0.9,10,2.057422
0.95,5,2.057422
0.88,12,2.057422
0.98,2,2.057422
0.99,1,2.057422
0.92,8,2.057422
0.85,15,2.057422
0.99,1,2.057422
0.81,19,2.057422
0.99,1,2.057422
0.99,1,2.057422
0.9,10,2.057422
0.99,1,2.057422
0.86,14,2.057422
0.97,3,2.057422
0.97,3,2.057422
0.99,1,2.057422
0.97,3,2.057422
0.93,7,2.057422
0.99,1,2.057422
0.98,2,2.057422
0.98,2,2.057422
0.97,3,2.057422
0.94,6,2.057422
0.95,5,2.057422
0.94,6,2.057422
0.97,3,2.073049
0.95,5,2.074718
0.98,2,2.074718
0.99,1,2.075659
0.91,9,2.075659
0.95,5,2.075659
0.88,12,2.075659
0.91,9,2.075659
0.81,19,2.075659
0.96,4,2.075659
0.97,3,2.075659
0.89,11,2.075659
0.87,13,2.075659
0.99,1,2.075659
0.96,4,2.075659
0.99,1,2.075659
0.92,8,2.075659
0.9,10,2.075659
0.94,6,2.075659
0.98,2,2.075659
0.94,6,2.075659
0.94,6,2.075659
0.6,40,2.075659
0.85,15,2.075659
0.94,6,2.0917
0.94,6,2.0917
0.97,3,2.092699
0.95,5,2.092699
0.95,5,2.093699
0.85,15,2.093699
0.98,2,2.093699
0.98,2,2.093699
0.92,8,2.093699
0.99,1,2.094699
0.94,6,2.095699
0.97,3,2.095699
0.93,7,2.095699
0.97,3,2.095699
0.97,3,2.096699
0.96,4,2.097699
0.98,2,2.097699
0.97,3,2.098699
0.98,2,2.100699
0.94,6,2.100699
0.92,8,2.101699
0.96,4,2.101699
0.98,2,2.102699
0.94,6,2.103699
0.92,8,2.103699
0.98,2,2.103699
0.81,19,2.103699
0.97,3,2.105699
0.89,11,2.106699
0.94,6,2.10756
0.99,1,2.108585
0.98,2,2.108585
0.99,1,2.109586
0.89,11,2.110586
0.98,2,2.112586
0.9,10,2.112586
0.9,10,2.112586
0.99,1,2.113586
0.99,1,2.113586
0.91,9,2.113586
0.99,1,2.114586
0.8,20,2.115586
0.91,9,2.117585
0.96,4,2.118586
0.94,6,2.119586
0.98,2,2.119586
0.99,1,2.120586
0.82,18,2.120586
0.71,29,2.121586
0.93,7,2.122729
0.84,16,2.124042
0.79,21,2.124042
0.99,1,2.124621
0.96,4,2.124621
0.97,3,2.124621
0.94,6,2.124621
0.86,14,2.126625
0.98,2,2.126625
0.96,4,2.127625
0.92,8,2.127625
0.99,1,2.127625
0.99,1,2.128625
0.96,4,2.128625
0.99,1,2.128625
0.94,6,2.128625
0.84,16,2.129625
0.99,1,2.129625
0.99,1,2.129625
0.99,1,2.130625
0.92,8,2.132625
0.92,8,2.132625
0.94,6,2.132625
0.95,5,2.133625
0.94,6,2.133625
0.95,5,2.133625
0.99,1,2.134625
0.94,6,2.135625
0.97,3,2.136625
0.84,16,2.136625
0.95,5,2.137625
0.96,4,2.137625
0.98,2,2.137625
0.95,5,2.139625
0.93,7,2.139625
0.97,3,2.139625
0.98,2,2.139625
0.99,1,2.140759
0.96,4,2.140759
0.89,11,2.140759
0.99,1,2.140759
0.92,8,2.140759
0.99,1,2.141764
0.96,4,2.141764
0.98,2,2.142764
0.96,4,2.144764
0.98,2,2.144764
0.96,4,2.145764
0.94,6,2.145764
0.99,1,2.145764
0.99,1,2.145764
0.95,5,2.145764
0.94,6,2.147764
0.91,9,2.149764
0.97,3,2.150764
0.94,6,2.151764
0.98,2,2.151764
0.98,2,2.152764
0.98,2,2.153763
0.99,1,2.154764
0.96,4,2.154764
0.99,1,2.155764
0.82,18,2.157459
0.99,1,2.157459
0.87,13,2.157459
0.98,2,2.157459
0.76,24,2.157459
0.95,5,2.157459
0.88,12,2.157459
0.99,1,2.157459
0.99,1,2.157459
0.98,2,2.157459
0.99,1,2.157459
0.99,1,2.157459
0.92,8,2.157459
0.99,1,2.157459
0.76,24,2.157459
0.75,25,2.157459
0.6,40,2.157459
0.99,1,2.157459
0.98,2,2.174024
0.97,3,2.179023
0.71,29,2.181097
0.94,6,2.181097
0.98,2,2.181354
0.96,4,2.181354
0.99,1,2.181354
0.8,20,2.181354
0.99,1,2.181354
0.92,8,2.181354
0.99,1,2.181354
0.99,1,2.181354
0.75,25,2.181354
0.98,2,2.181354
0.98,2,2.181354
0.99,1,2.181354
0.99,1,2.181354
0.99,1,2.190688
0.83,17,2.191736
0.98,2,2.192727
0.96,4,2.193727
0.98,2,2.193727
0.95,5,2.195727
0.78,22,2.196724
0.99,1,2.196724
0.91,9,2.196724
0.84,16,2.197764
0.9,10,2.197764
0.96,4,2.197764
0.99,1,2.198764
0.97,3,2.200762
0.7,30,2.20176
0.82,18,2.202764
0.95,5,2.202764
0.97,3,2.204727
0.98,2,2.204727
0.99,1,2.205727
0.9,10,2.205727
0.98,2,2.206727
0.95,5,2.206727
0.92,8,2.206727
0.99,1,2.206727
0.9,10,2.207728
0.99,1,2.207728
0.9,10,2.207728
0.99,1,2.207728
0.91,9,2.208727
0.99,1,2.208727
0.99,1,2.209727
0.97,3,2.209727
0.97,3,2.210727
0.99,1,2.210727
0.91,9,2.211727
0.95,5,2.21323
0.99,1,2.21323
0.97,3,2.21323
0.99,1,2.214233
0.93,7,2.215233
0.94,6,2.215233
0.9,10,2.216233
0.91,9,2.216233
0.95,5,2.216233
0.97,3,2.218233
0.98,2,2.219233
0.97,3,2.219233
0.97,3,2.221233
0.91,9,2.222233
0.89,11,2.222233
0.73,27,2.224087
0.9,10,2.224087
0.95,5,2.224087
0.91,9,2.224087
0.93,7,2.224087
0.99,1,2.224087
0.99,1,2.224087
0.99,1,2.224087
0.96,4,2.224087
0.99,1,2.224087
0.95,5,2.224087
0.88,12,2.224087
0.96,4,2.224087
0.95,5,2.224087
0.88,12,2.224087
0.92,8,2.224087
0.96,4,2.224087
0.99,1,2.224087
0.99,1,2.224087
0.99,1,2.224087
0.97,3,2.224087
0.99,1,2.224087
0.94,6,2.224087
0.92,8,2.224087
0.88,12,2.224087
0.95,5,2.224087
0.91,9,2.224087
0.97,3,2.224087
0.98,2,2.239711
0.94,6,2.242291
0.88,12,2.242291
0.87,13,2.242291
0.97,3,2.242291
0.99,1,2.243289
0.81,19,2.243289
0.93,7,2.24429
0.83,17,2.24429
0.89,11,2.24529
0.99,1,2.24529
0.97,3,2.24529
0.99,1,2.24729
0.99,1,2.24729
0.97,3,2.24729
0.96,4,2.249795
0.97,3,2.249795
0.95,5,2.249795
0.92,8,2.250801
0.99,1,2.2518
0.98,2,2.2518
0.94,6,2.2548
0.88,12,2.2558
0.74,26,2.2558
0.94,6,2.257827
0.99,1,2.257827
0.89,11,2.257827
0.97,3,2.258832
0.99,1,2.258832
0.88,12,2.258832
0.96,4,2.259833
0.99,1,2.259833
0.97,3,2.260833
0.97,3,2.260833
0.99,1,2.261833
0.77,23,2.261833
0.99,1,2.261833
0.99,1,2.262832
0.87,13,2.262832
0.99,1,2.262832
0.99,1,2.263833
0.99,1,2.263833
0.99,1,2.264832
0.95,5,2.264832
0.99,1,2.265832
0.99,1,2.265832
0.96,4,2.266833
0.91,9,2.267832
0.92,8,2.267832
0.74,26,2.268833
0.95,5,2.268833
0.9,10,2.268833
0.99,1,2.269833
0.99,1,2.269833
0.99,1,2.270832
0.91,9,2.270832
0.97,3,2.270832
0.96,4,2.270832
0.99,1,2.271832
0.95,5,2.272834
0.99,1,2.274054
0.98,2,2.274054
0.97,3,2.274054
0.99,1,2.274054
0.91,9,2.274054
0.99,1,2.274054
0.94,6,2.274054
0.99,1,2.274054
0.92,8,2.274054
0.92,8,2.274054
0.97,3,2.274054
0.95,5,2.274054
0.98,2,2.274054
0.98,2,2.274054
0.95,5,2.274054
0.88,12,2.274054
0.69,31,2.274054
0.99,1,2.274054
0.99,1,2.274054
0.9,10,2.274054
0.93,7,2.274054
0.82,18,2.274054
0.99,1,2.274054
0.96,4,2.274054
0.89,11,2.274054
0.99,1,2.274054
0.96,4,2.274054
0.94,6,2.289681
0.9,10,2.289681
0.99,1,2.290747
0.93,7,2.290747
0.9,10,2.296312
0.98,2,2.296312
0.95,5,2.296312
0.95,5,2.296312
0.99,1,2.298201
0.98,2,2.298201
0.99,1,2.299278
0.99,1,2.299278
0.9,10,2.299278
0.9,10,2.299278
0.99,1,2.299278
0.96,4,2.299278
0.99,1,2.299278
0.98,2,2.299278
0.97,3,2.299278
0.88,12,2.299278
0.98,2,2.299278
0.98,2,2.299278
0.9,10,2.299278
0.99,1,2.299278
0.9,10,2.307591
0.93,7,2.308624
0.94,6,2.311621
0.92,8,2.311621
0.86,14,2.312621
0.99,1,2.312621
0.99,1,2.313621
0.91,9,2.313621
0.81,19,2.314621
0.93,7,2.314621
0.99,1,2.314621
0.99,1,2.315621
0.96,4,2.316622
0.96,4,2.318621
0.85,15,2.318621
0.92,8,2.319622
0.99,1,2.319622
0.92,8,2.321621
0.83,17,2.322621
0.95,5,2.323621
0.74,26,2.323621
0.85,15,2.323621
0.98,2,2.324623
0.98,2,2.325621
0.98,2,2.325621
0.96,4,2.325621
0.99,1,2.326622
0.89,11,2.327621
0.99,1,2.328621
0.86,14,2.328621
0.97,3,2.329621
0.98,2,2.330621
0.95,5,2.330621
0.98,2,2.332621
0.98,2,2.332621
0.83,17,2.332621
0.99,1,2.333621
0.86,14,2.333621
0.9,10,2.333621
0.98,2,2.334621
0.99,1,2.334621
0.94,6,2.335622
0.98,2,2.335622
0.99,1,2.335622
0.84,16,2.335622
0.93,7,2.335622
0.99,1,2.336622
0.87,13,2.338622
0.95,5,2.338622
0.99,1,2.339622
