#{"t_start": 1734308162.811527, "env_id": "None"}
r,l,t
0.96,4,94.909543
0.87,13,94.909543
0.99,1,94.909543
0.98,2,94.912541
0.98,2,94.912541
0.96,4,94.912541
0.96,4,94.912541
0.95,5,94.912541
0.94,6,94.91354
0.97,3,94.91354
0.95,5,94.91354
0.98,2,94.91354
0.99,1,94.916541
0.95,5,94.916541
0.91,9,94.917541
0.99,1,94.919542
0.94,6,94.920541
0.91,9,94.92154
0.86,14,94.924541
0.99,1,94.925541
0.89,11,94.928542
0.96,4,94.932541
0.77,23,94.932541
0.62,38,94.932541
0.83,17,94.932541
0.99,1,94.932541
0.99,1,94.93354
0.88,12,94.93354
0.85,15,94.936542
0.96,4,94.936542
0.99,1,94.936542
0.94,6,94.937541
0.73,27,94.937541
0.95,5,94.937541
0.92,8,94.940542
0.99,1,94.940542
0.87,13,94.940542
0.93,7,94.941541
0.94,6,94.942541
0.94,6,94.942541
0.77,23,94.942541
0.72,28,94.942541
0.95,5,94.942541
0.95,5,94.944542
0.97,3,94.945541
0.93,7,94.945541
0.97,3,94.948541
0.88,12,94.949541
0.92,8,94.949541
0.91,9,94.952541
0.9,10,94.952541
0.94,6,94.952541
0.99,1,94.952541
0.98,2,94.952541
0.87,13,94.952541
0.99,1,94.953541
0.99,1,94.953541
0.99,1,94.953541
0.97,3,94.956542
0.99,1,94.95754
0.95,5,94.95754
0.86,14,94.95754
0.97,3,94.95754
0.87,13,94.95754
0.99,1,94.95754
0.93,7,94.95754
0.99,1,94.958538
0.98,2,94.958538
0.99,1,94.958538
0.95,5,94.958538
0.99,1,94.961539
0.98,2,94.961539
0.99,1,94.961539
0.99,1,94.961539
0.99,1,94.962538
0.98,2,94.962538
0.95,5,94.962538
0.99,1,94.963538
0.99,1,94.963538
0.99,1,94.966538
0.99,1,94.967538
0.95,5,94.967538
0.84,16,94.970539
0.88,12,94.971539
0.8,20,94.971539
0.9,10,94.972538
0.99,1,94.972538
0.99,1,94.974538
0.98,2,94.975538
0.91,9,94.975538
0.99,1,94.975538
0.99,1,94.976539
0.92,8,94.978539
0.88,12,94.979538
0.96,4,94.979538
0.85,15,94.979538
0.82,18,94.979538
0.97,3,94.980538
0.98,2,94.983538
0.79,21,94.983538
0.99,1,94.983538
0.9,10,94.983538
0.97,3,94.983538
0.99,1,94.983538
0.99,1,94.983538
0.99,1,94.983538
0.93,7,94.984539
0.96,4,94.984539
0.98,2,94.984539
0.97,3,94.984539
0.6,40,94.984539
0.88,12,94.987538
0.99,1,94.987538
0.99,1,94.987538
0.96,4,94.987538
0.99,1,94.988538
0.92,8,94.989539
0.96,4,94.989539
0.99,1,94.990539
0.99,1,94.990539
0.99,1,94.992539
0.99,1,94.992539
0.91,9,94.99354
0.97,3,94.994538
0.9,10,94.996539
0.92,8,94.996539
0.98,2,94.997538
0.99,1,94.997538
0.99,1,94.998538
0.88,12,94.998538
0.99,1,95.001539
0.94,6,95.001539
0.99,1,95.001539
0.96,4,95.001539
0.82,18,95.003538
0.98,2,95.003538
0.93,7,95.005538
0.94,6,95.00954
0.85,15,95.01054
0.96,4,95.01054
0.98,2,95.01054
0.99,1,95.01054
0.99,1,95.011554
0.97,3,95.011554
0.99,1,95.012538
0.98,2,95.012538
0.81,19,95.012538
0.85,15,95.012538
0.98,2,95.015605
0.93,7,95.015605
0.94,6,95.015605
0.99,1,95.016636
0.98,2,95.016636
0.77,23,95.016636
0.95,5,95.019635
0.95,5,95.019635
0.92,8,95.019635
0.92,8,95.019635
0.98,2,95.020635
0.97,3,95.020635
0.99,1,95.020635
0.99,1,95.020635
0.99,1,95.021633
0.98,2,95.021633
0.99,1,95.021633
0.98,2,95.021633
0.99,1,95.022635
0.99,1,95.022635
0.91,9,95.025635
0.96,4,95.025635
0.96,4,95.026635
0.89,11,95.026635
0.94,6,95.026635
0.99,1,95.028634
0.97,3,95.029634
0.92,8,95.029634
0.99,1,95.029634
0.84,16,95.030633
0.94,6,95.032633
0.97,3,95.032633
0.91,9,95.032633
0.92,8,95.033634
0.95,5,95.033634
0.99,1,95.033634
0.99,1,95.033634
0.98,2,95.035633
0.95,5,95.035633
0.9,10,95.037634
0.99,1,95.038635
0.98,2,95.038635
0.99,1,95.039633
0.94,6,95.039633
0.98,2,95.039633
0.97,3,95.043635
0.9,10,95.043635
0.97,3,95.043635
0.98,2,95.044634
0.98,2,95.046634
0.91,9,95.046634
0.89,11,95.047634
0.99,1,95.047634
0.99,1,95.047634
0.73,27,95.047634
0.99,1,95.048634
0.93,7,95.048634
0.98,2,95.048634
0.98,2,95.048634
0.97,3,95.048634
0.99,1,95.048634
0.99,1,95.051634
0.98,2,95.051634
0.99,1,95.052634
0.97,3,95.052634
0.97,3,95.053634
0.96,4,95.053634
0.99,1,95.056634
0.98,2,95.056634
0.66,34,95.061635
0.83,17,95.061635
0.85,15,95.062634
0.98,2,95.062634
0.91,9,95.065693
0.71,29,95.065693
0.99,1,95.066691
0.8,20,95.070691
0.94,6,95.073693
0.81,19,95.073693
0.83,17,95.074692
0.99,1,95.074692
0.99,1,95.074692
0.82,18,95.074692
0.98,2,95.078692
0.94,6,95.078692
0.86,14,95.079692
0.97,3,95.080691
0.97,3,95.080691
0.95,5,95.080691
0.93,7,95.083693
0.92,8,95.083693
0.84,16,95.083693
0.98,2,95.083693
0.99,1,95.083693
0.98,2,95.083693
0.99,1,95.083693
0.8,20,95.084691
0.96,4,95.087692
0.96,4,95.091692
0.99,1,95.09269
0.93,7,95.09269
0.91,9,95.09269
0.99,1,95.093693
0.99,1,95.093693
0.99,1,95.096692
0.98,2,95.097692
0.67,33,95.097692
0.86,14,95.097692
0.99,1,95.100692
0.99,1,95.100692
0.99,1,95.101691
0.93,7,95.101691
0.83,17,95.101691
0.9,10,95.102691
0.98,2,95.104692
0.97,3,95.105691
0.98,2,95.105691
0.79,21,95.105691
0.72,28,95.110692
0.93,7,95.118692
0.68,32,95.118692
0.99,1,95.118692
0.98,2,95.118692
0.93,7,95.118692
0.99,1,95.120692
0.86,14,95.125692
0.87,13,95.125692
0.94,6,95.125692
0.99,1,95.125692
0.99,1,95.125692
0.99,1,95.128692
0.99,1,95.129692
0.93,7,95.129692
0.99,1,95.129692
0.99,1,95.130691
0.99,1,95.130691
0.75,25,95.130691
0.99,1,95.133693
0.95,5,95.133693
0.98,2,95.133693
0.99,1,95.134692
0.95,5,95.138693
0.11,89,95.139692
0.88,12,95.139692
0.99,1,95.139692
0.68,32,95.139692
0.93,7,95.139692
0.99,1,95.142693
0.97,3,95.143692
0.98,2,95.143692
0.99,1,95.143692
0.69,31,95.143692
0.99,1,95.144692
0.98,2,95.145692
0.95,5,95.147692
0.99,1,95.148692
0.98,2,95.148692
0.75,25,95.149692
0.97,3,95.152692
0.94,6,95.152692
0.96,4,95.153692
0.99,1,95.153692
