#{"t_start": 1734309533.215802, "env_id": "None"}
r,l,t
0.97,3,72.582514
0.95,5,72.582514
0.86,14,72.591509
0.82,18,72.600152
0.92,8,72.600152
0.82,18,72.602152
0.8,20,72.612
0.73,27,72.61904
0.91,9,72.62004
0.8,20,72.621039
0.85,15,72.627897
0.8,20,72.628996
0.99,1,72.629323
0.9,10,72.637316
0.85,15,72.637316
0.95,5,72.638316
0.98,2,72.643317
0.99,1,72.644317
0.98,2,72.644317
0.48,52,72.646269
0.85,15,72.647269
0.95,5,72.652267
0.95,5,72.652267
0.99,1,72.654268
0.99,1,72.655
0.58,42,72.656007
0.98,2,72.660006
0.94,6,72.660006
0.95,5,72.661841
0.99,1,72.661841
0.98,2,72.663872
0.95,5,72.664874
0.99,1,72.668872
0.03,97,72.668872
0.6,40,72.671872
0.96,4,72.673872
0.82,18,72.67852
0.96,4,72.67852
0.99,1,72.680557
0.96,4,72.690903
0.96,4,72.691903
0.92,8,72.692902
0.99,1,72.692902
0.96,4,72.703359
0.53,47,72.706357
0.76,24,72.710358
0.62,38,72.711898
0.91,9,72.711898
0.94,6,72.712901
0.82,18,72.723418
0.91,9,72.723418
0.94,6,72.723418
0.98,2,72.728679
0.99,1,72.729681
0.97,3,72.729681
0.99,1,72.730681
0.96,4,72.738106
0.84,16,72.739109
0.4,60,72.740107
0.83,17,72.741107
0.57,43,72.748894
0.93,7,72.751968
0.77,23,72.753019
0.55,45,72.759017
0.88,12,72.761866
0.81,19,72.770917
0.86,14,72.77288
0.84,16,72.77352
0.88,12,72.77352
0.89,11,72.779713
0.93,7,72.78873
0.33,67,72.790687
0.95,5,72.802473
0.86,14,72.803472
0.97,3,72.805471
0.76,24,72.813007
0.84,16,72.813007
0.74,26,72.813007
0.73,27,72.824097
0.86,14,72.833658
0.7,30,72.834657
0.84,16,72.845217
0.83,17,72.84626
0.74,26,72.855258
0.77,23,72.85726
0.49,51,72.85726
0.68,32,72.85726
0.99,1,72.861967
0.33,67,72.861967
0.92,8,72.861967
0.91,9,72.861967
0.97,3,72.861967
0.86,14,72.861967
0.96,4,72.861967
0.9,10,72.861967
0.98,2,72.861967
0.98,2,72.882926
0.99,1,72.883925
0.93,7,72.884925
0.69,31,72.886925
0.86,14,72.886925
0.97,3,72.891925
0.96,4,72.894927
0.79,21,72.902925
0.79,21,72.903926
0.96,4,72.903926
0.91,9,72.903926
0.98,2,72.905926
0.96,4,72.916691
0.96,4,72.916691
0.99,1,72.917692
0.97,3,72.919691
0.72,28,72.924691
0.65,35,72.928469
0.87,13,72.932476
0.5,50,72.934476
0.86,14,72.934476
0.94,6,72.944477
0.99,1,72.94511
0.99,1,72.950148
0.78,22,72.960149
0.73,27,72.962773
0.77,23,72.969771
0.91,9,72.976772
0.65,35,72.988397
0.98,2,72.993401
0.41,59,72.997099
0.85,15,73.002664
0.61,39,73.002664
0.66,34,73.006697
0.79,21,73.006697
0.91,9,73.01897
0.92,8,73.019969
0.95,5,73.019969
0.99,1,73.024969
0.88,12,73.028559
0.4,60,73.029567
0.81,19,73.033565
0.87,13,73.035565
0.08,92,73.037565
0.2,80,73.038565
0.96,4,73.043565
0.97,3,73.043565
0.88,12,73.051051
0.99,1,73.052051
0.83,17,73.054053
0.99,1,73.055051
0.92,8,73.056051
0.84,16,73.061674
0.47,53,73.062722
0.91,9,73.071718
0.93,7,73.072718
0.65,35,73.080415
0.62,38,73.087428
0.72,28,73.087428
0.8,20,73.088415
0.8,20,73.095009
0.85,15,73.097049
0.94,6,73.098048
0.89,11,73.098048
0.99,1,73.102049
0.67,33,73.106049
0.77,23,73.113715
0.52,48,73.113715
0.93,7,73.113715
0.94,6,73.120716
0.99,1,73.122716
0.8,20,73.123716
0.79,21,73.124682
0.93,7,73.125682
0.85,15,73.125682
0.91,9,73.137475
0.5,50,73.137475
0.95,5,73.137475
0.99,1,73.138475
0.73,27,73.149206
0.82,18,73.16284
0.86,14,73.16284
0.86,14,73.173839
0.76,24,73.174839
0.78,22,73.175838
0.72,28,73.186548
0.93,7,73.186548
0.53,47,73.192541
0.79,21,73.204207
0.53,47,73.207206
0.81,19,73.213899
0.86,14,73.2159
0.51,49,73.223899
0.94,6,73.223899
0.72,28,73.231839
0.78,22,73.231839
0.99,1,73.232841
0.86,14,73.232841
0.98,2,73.238841
0.98,2,73.238841
0.8,20,73.239839
0.86,14,73.240839
0.99,1,73.241839
0.99,1,73.247259
0.55,45,73.253259
0.99,1,73.253259
0.94,6,73.255258
0.9,10,73.255258
0.98,2,73.255258
0.99,1,73.256258
0.9,10,73.261793
0.83,17,73.261793
0.97,3,73.262878
0.9,10,73.262878
0.99,1,73.263873
0.96,4,73.266876
0.94,6,73.271876
0.56,44,73.274874
0.24,76,73.275876
0.99,1,73.280523
0.85,15,73.289524
0.88,12,73.290523
0.81,19,73.291523
0.87,13,73.300085
0.94,6,73.302085
0.77,23,73.304084
0.95,5,73.309086
0.88,12,73.310085
0.79,21,73.311085
0.98,2,73.311888
0.99,1,73.311888
0.99,1,73.313969
0.92,8,73.330523
0.98,2,73.332525
0.99,1,73.333524
0.57,43,73.338525
0.52,48,73.341528
0.97,3,73.341528
0.39,61,73.342521
0.77,23,73.348159
0.67,33,73.351158
0.78,22,73.357161
0.88,12,73.357161
0.91,9,73.358124
0.98,2,73.359122
0.97,3,73.363733
0.98,2,73.369734
0.87,13,73.370734
0.88,12,73.370734
0.92,8,73.371734
0.99,1,73.372734
0.84,16,73.379508
0.88,12,73.385507
0.9,10,73.386506
0.85,15,73.387506
0.99,1,73.388506
0.89,11,73.390507
0.92,8,73.395048
0.89,11,73.395048
0.51,49,73.395048
0.82,18,73.395048
0.97,3,73.395048
0.33,67,73.395048
0.91,9,73.395048
0.92,8,73.412246
0.91,9,73.413244
0.97,3,73.420244
0.71,29,73.420244
0.99,1,73.421245
0.93,7,73.423244
0.83,17,73.432245
0.98,2,73.437244
0.99,1,73.438245
0.78,22,73.439244
0.97,3,73.445174
0.71,29,73.449178
0.95,5,73.449178
0.84,16,73.450177
0.8,20,73.455176
0.96,4,73.458176
0.76,24,73.459177
0.57,43,73.459177
0.97,3,73.459177
0.99,1,73.463879
0.99,1,73.464879
0.66,34,73.464879
0.91,9,73.465879
0.97,3,73.471879
0.94,6,73.473879
0.88,12,73.485489
0.79,21,73.486489
0.93,7,73.490489
0.96,4,73.490489
0.97,3,73.490489
0.97,3,73.497203
0.81,19,73.499203
0.0,101,73.499203
0.82,18,73.501203
0.98,2,73.507203
0.85,15,73.507203
0.94,6,73.507203
0.87,13,73.518763
0.93,7,73.518763
0.9,10,73.524765
0.95,5,73.526766
0.26,74,73.528353
0.85,15,73.533396
0.97,3,73.536395
0.8,20,73.536395
0.9,10,73.542395
0.59,41,73.542395
0.99,1,73.543395
0.86,14,73.543395
0.99,1,73.545106
0.98,2,73.547185
0.88,12,73.560186
0.64,36,73.569852
0.77,23,73.569852
0.99,1,73.570853
0.9,10,73.583577
0.68,32,73.604316
0.7,30,73.605316
0.86,14,73.605316
0.95,5,73.613757
0.38,62,73.613757
0.93,7,73.618757
0.96,4,73.620757
0.97,3,73.621757
0.93,7,73.626758
0.98,2,73.626758
0.44,56,73.630367
0.96,4,73.634367
0.03,97,73.634367
0.98,2,73.635367
0.94,6,73.636367
0.47,53,73.637367
0.96,4,73.638367
0.95,5,73.645109
0.81,19,73.652151
0.86,14,73.654152
0.97,3,73.661233
0.83,17,73.661754
0.44,56,73.668755
0.96,4,73.668755
0.8,20,73.678441
0.71,29,73.68449
0.65,35,73.701534
0.87,13,73.70653
0.96,4,73.708529
0.67,33,73.713886
