#{"t_start": 1734309366.4329534, "env_id": "None"}
r,l,t
0.97,3,87.461458
0.91,9,87.466063
0.94,6,87.466063
0.94,6,87.466063
0.93,7,87.466063
0.98,2,87.466063
0.94,6,87.466063
0.82,18,87.466063
0.82,18,87.466063
0.94,6,87.466063
0.92,8,87.466063
0.99,1,87.482315
0.97,3,87.483313
0.92,8,87.49031
0.37,63,87.49331
0.91,9,87.49431
0.88,12,87.49431
0.76,24,87.495312
0.99,1,87.495312
0.72,28,87.495312
0.99,1,87.499783
0.86,14,87.499783
0.99,1,87.499783
0.78,22,87.500785
0.93,7,87.500785
0.95,5,87.501784
0.99,1,87.501784
0.94,6,87.505785
0.98,2,87.505785
0.97,3,87.505785
0.99,1,87.505785
0.99,1,87.506783
0.96,4,87.510782
0.92,8,87.511785
0.61,39,87.512784
0.86,14,87.512784
0.84,16,87.514076
0.95,5,87.514076
0.98,2,87.514076
0.99,1,87.514076
0.89,11,87.514076
0.99,1,87.514076
0.91,9,87.514076
0.73,27,87.514076
0.98,2,87.514076
0.98,2,87.514076
0.97,3,87.514076
0.94,6,87.514076
0.94,6,87.514076
0.97,3,87.529703
0.98,2,87.529703
0.84,16,87.529703
0.96,4,87.531575
0.99,1,87.531657
0.98,2,87.531785
0.99,1,87.531785
0.95,5,87.531785
0.98,2,87.532934
0.85,15,87.532934
0.78,22,87.532934
0.92,8,87.532934
0.99,1,87.532934
0.97,3,87.532934
0.96,4,87.532934
0.99,1,87.532934
0.99,1,87.532934
0.96,4,87.532934
0.91,9,87.532934
0.93,7,87.532934
0.82,18,87.532934
0.98,2,87.532934
0.94,6,87.532934
0.99,1,87.549206
0.97,3,87.549206
0.99,1,87.550266
0.92,8,87.550266
0.99,1,87.550266
0.95,5,87.550266
0.97,3,87.550266
0.99,1,87.550266
0.87,13,87.550266
0.95,5,87.550266
0.99,1,87.550266
0.99,1,87.550266
0.99,1,87.550266
0.91,9,87.550266
0.98,2,87.550266
0.99,1,87.550266
0.97,3,87.550266
0.94,6,87.564909
0.78,22,87.564909
0.98,2,87.564909
0.94,6,87.565919
0.92,8,87.572916
0.93,7,87.572916
0.93,7,87.572916
0.99,1,87.575917
0.98,2,87.575917
0.9,10,87.576915
0.97,3,87.576915
0.99,1,87.58057
0.96,4,87.58147
0.99,1,87.58253
0.71,29,87.586529
0.98,2,87.586529
0.83,17,87.586529
0.99,1,87.586529
0.93,7,87.58753
0.99,1,87.58753
0.94,6,87.59656
0.92,8,87.597185
0.83,17,87.597482
0.43,57,87.597482
0.89,11,87.597482
0.96,4,87.597482
0.9,10,87.597482
0.78,22,87.597482
0.99,1,87.597482
0.99,1,87.597482
0.97,3,87.597482
0.97,3,87.597482
0.94,6,87.597482
0.99,1,87.597482
0.99,1,87.597482
0.96,4,87.597482
0.98,2,87.597482
0.99,1,87.597482
0.99,1,87.597482
0.99,1,87.597482
0.99,1,87.597482
0.97,3,87.597482
0.99,1,87.597482
0.98,2,87.597482
0.51,49,87.597482
0.99,1,87.613934
0.97,3,87.614034
0.95,5,87.614034
0.97,3,87.614034
0.42,58,87.614034
0.98,2,87.614034
0.91,9,87.614034
0.96,4,87.614034
0.93,7,87.614034
0.94,6,87.630726
0.99,1,87.630726
0.99,1,87.630726
0.96,4,87.630726
0.99,1,87.630726
0.83,17,87.630726
0.4,60,87.630726
0.74,26,87.630726
0.81,19,87.647298
0.94,6,87.647298
0.99,1,87.649029
0.98,2,87.64936
0.99,1,87.64936
0.94,6,87.64936
0.98,2,87.64936
0.86,14,87.64936
0.98,2,87.64936
0.99,1,87.64936
0.89,11,87.64936
0.99,1,87.64936
0.99,1,87.64936
0.77,23,87.64936
0.99,1,87.64936
0.99,1,87.64936
0.99,1,87.64936
0.99,1,87.64936
0.99,1,87.64936
0.99,1,87.664187
0.79,21,87.666211
0.96,4,87.670245
0.99,1,87.671211
0.99,1,87.671211
0.76,24,87.67721
0.87,13,87.67721
0.97,3,87.67721
0.93,7,87.687878
0.99,1,87.688878
0.48,52,87.689877
0.7,30,87.698169
0.91,9,87.698169
0.81,19,87.698169
0.99,1,87.698169
0.74,26,87.698169
0.67,33,87.698169
0.99,1,87.698169
0.6,40,87.698169
0.95,5,87.698169
0.99,1,87.698169
0.99,1,87.714104
0.71,29,87.714104
0.89,11,87.714104
0.18,82,87.714104
0.99,1,87.714104
0.99,1,87.714104
0.89,11,87.714104
0.85,15,87.714104
0.85,15,87.714104
