#{"t_start": 1734309366.4073398, "env_id": "None"}
r,l,t
0.9,10,0.445248
0.95,5,0.445248
0.9,10,0.446249
0.93,7,0.448251
0.85,15,0.448251
0.91,9,0.448251
0.98,2,0.449255
0.96,4,0.449255
0.99,1,0.450248
0.96,4,0.45125
0.99,1,0.45125
0.94,6,0.452257
0.99,1,0.45325
0.88,12,0.45325
0.91,9,0.454252
0.96,4,0.455245
0.98,2,0.456248
0.93,7,0.456248
0.98,2,0.457969
0.77,23,0.457969
0.76,24,0.457969
0.94,6,0.457969
0.98,2,0.457969
0.94,6,0.457969
0.99,1,0.457969
0.99,1,0.457969
0.75,25,0.457969
0.89,11,0.457969
0.82,18,0.457969
0.91,9,0.457969
0.84,16,0.457969
0.98,2,0.457969
0.94,6,0.457969
0.99,1,0.457969
0.99,1,0.457969
0.98,2,0.457969
0.87,13,0.457969
0.93,7,0.457969
0.95,5,0.473625
0.91,9,0.473625
0.82,18,0.474588
0.92,8,0.474588
0.98,2,0.474588
0.96,4,0.474588
0.93,7,0.474588
0.99,1,0.474588
0.99,1,0.474588
0.93,7,0.474588
0.98,2,0.474588
0.96,4,0.474588
0.77,23,0.474588
0.97,3,0.474588
0.85,15,0.474588
0.96,4,0.474588
0.88,12,0.474588
0.99,1,0.474588
0.95,5,0.474588
0.94,6,0.474588
0.89,11,0.474588
0.76,24,0.474588
0.98,2,0.474588
0.99,1,0.474588
0.98,2,0.491246
0.96,4,0.491246
0.99,1,0.491246
0.98,2,0.497133
0.95,5,0.497514
0.96,4,0.498461
0.99,1,0.498461
0.89,11,0.498461
0.72,28,0.498461
0.9,10,0.498461
0.97,3,0.498461
0.99,1,0.498461
0.98,2,0.498461
0.8,20,0.498461
0.9,10,0.498461
0.99,1,0.498461
0.99,1,0.498461
0.99,1,0.498461
0.83,17,0.498461
0.8,20,0.498461
0.99,1,0.498461
0.98,2,0.498461
0.93,7,0.498461
0.96,4,0.508859
0.94,6,0.508859
0.86,14,0.511856
0.99,1,0.512856
0.94,6,0.512856
0.87,13,0.512856
0.99,1,0.513858
0.91,9,0.514856
0.91,9,0.514856
0.92,8,0.517855
0.97,3,0.517855
0.95,5,0.518857
0.99,1,0.518857
0.96,4,0.519856
0.97,3,0.521857
0.99,1,0.521857
0.85,15,0.522857
0.91,9,0.523856
0.97,3,0.524858
0.95,5,0.524858
0.78,22,0.525856
0.98,2,0.527858
0.96,4,0.527858
